0	1	2	
0	2	3	
0	3	1	
1	3	2	
0	1	2	
0	2	4	
0	4	1	
1	4	2	
0	1	3	
0	3	5	
0	5	1	
1	5	3	
0	1	4	
0	4	6	
0	6	1	
1	6	4	
0	1	5	
0	5	6	
0	6	1	
1	6	5	
0	2	3	
0	3	7	
0	7	2	
2	7	3	
0	2	4	
0	4	8	
0	8	2	
2	8	4	
0	2	7	
0	7	8	
0	8	2	
2	8	7	
0	3	5	
0	5	9	
0	9	3	
3	9	5	
0	3	7	
0	7	9	
0	9	3	
3	9	7	
0	4	6	
0	6	10	
0	10	4	
4	10	6	
0	4	8	
0	8	10	
0	10	4	
4	10	8	
0	5	6	
0	6	11	
0	11	5	
5	11	6	
0	5	9	
0	9	11	
0	11	5	
5	11	9	
0	6	10	
0	10	11	
0	11	6	
6	11	10	
0	7	8	
0	8	12	
0	12	7	
7	12	8	
0	7	9	
0	9	12	
0	12	7	
7	12	9	
0	8	10	
0	10	12	
0	12	8	
8	12	10	
0	9	11	
0	11	12	
0	12	9	
9	12	11	
0	10	11	
0	11	12	
0	12	10	
10	12	11	
1	2	3	
1	3	13	
1	13	2	
2	13	3	
1	2	4	
1	4	14	
1	14	2	
2	14	4	
1	2	13	
1	13	14	
1	14	2	
2	14	13	
1	3	5	
1	5	15	
1	15	3	
3	15	5	
1	3	13	
1	13	15	
1	15	3	
3	15	13	
1	4	6	
1	6	16	
1	16	4	
4	16	6	
1	4	14	
1	14	16	
1	16	4	
4	16	14	
1	5	6	
1	6	19	
1	19	5	
5	19	6	
1	5	15	
1	15	19	
1	19	5	
5	19	15	
1	6	16	
1	16	19	
1	19	6	
6	19	16	
1	13	14	
1	14	33	
1	33	13	
13	33	14	
1	13	15	
1	15	33	
1	33	13	
13	33	15	
1	14	16	
1	16	33	
1	33	14	
14	33	16	
1	15	19	
1	19	33	
1	33	15	
15	33	19	
1	16	19	
1	19	33	
1	33	16	
16	33	19	
2	3	7	
2	7	17	
2	17	3	
3	17	7	
2	3	13	
2	13	17	
2	17	3	
3	17	13	
2	4	8	
2	8	18	
2	18	4	
4	18	8	
2	4	14	
2	14	18	
2	18	4	
4	18	14	
2	7	8	
2	8	20	
2	20	7	
7	20	8	
2	7	17	
2	17	20	
2	20	7	
7	20	17	
2	8	18	
2	18	20	
2	20	8	
8	20	18	
2	13	14	
2	14	34	
2	34	13	
13	34	14	
2	13	17	
2	17	34	
2	34	13	
13	34	17	
2	14	18	
2	18	34	
2	34	14	
14	34	18	
2	17	20	
2	20	34	
2	34	17	
17	34	20	
2	18	20	
2	20	34	
2	34	18	
18	34	20	
3	5	9	
3	9	21	
3	21	5	
5	21	9	
3	5	15	
3	15	21	
3	21	5	
5	21	15	
3	7	9	
3	9	23	
3	23	7	
7	23	9	
3	7	17	
3	17	23	
3	23	7	
7	23	17	
3	9	21	
3	21	23	
3	23	9	
9	23	21	
3	13	15	
3	15	35	
3	35	13	
13	35	15	
3	13	17	
3	17	35	
3	35	13	
13	35	17	
3	15	21	
3	21	35	
3	35	15	
15	35	21	
3	17	23	
3	23	35	
3	35	17	
17	35	23	
3	21	23	
3	23	35	
3	35	21	
21	35	23	
4	6	10	
4	10	22	
4	22	6	
6	22	10	
4	6	16	
4	16	22	
4	22	6	
6	22	16	
4	8	10	
4	10	24	
4	24	8	
8	24	10	
4	8	18	
4	18	24	
4	24	8	
8	24	18	
4	10	22	
4	22	24	
4	24	10	
10	24	22	
4	14	16	
4	16	36	
4	36	14	
14	36	16	
4	14	18	
4	18	36	
4	36	14	
14	36	18	
4	16	22	
4	22	36	
4	36	16	
16	36	22	
4	18	24	
4	24	36	
4	36	18	
18	36	24	
4	22	24	
4	24	36	
4	36	22	
22	36	24	
5	6	11	
5	11	25	
5	25	6	
6	25	11	
5	6	19	
5	19	25	
5	25	6	
6	25	19	
5	9	11	
5	11	27	
5	27	9	
9	27	11	
5	9	21	
5	21	27	
5	27	9	
9	27	21	
5	11	25	
5	25	27	
5	27	11	
11	27	25	
5	15	19	
5	19	37	
5	37	15	
15	37	19	
5	15	21	
5	21	37	
5	37	15	
15	37	21	
5	19	25	
5	25	37	
5	37	19	
19	37	25	
5	21	27	
5	27	37	
5	37	21	
21	37	27	
5	25	27	
5	27	37	
5	37	25	
25	37	27	
6	10	11	
6	11	28	
6	28	10	
10	28	11	
6	10	22	
6	22	28	
6	28	10	
10	28	22	
6	11	25	
6	25	28	
6	28	11	
11	28	25	
6	16	19	
6	19	38	
6	38	16	
16	38	19	
6	16	22	
6	22	38	
6	38	16	
16	38	22	
6	19	25	
6	25	38	
6	38	19	
19	38	25	
6	22	28	
6	28	38	
6	38	22	
22	38	28	
6	25	28	
6	28	38	
6	38	25	
25	38	28	
7	8	12	
7	12	26	
7	26	8	
8	26	12	
7	8	20	
7	20	26	
7	26	8	
8	26	20	
7	9	12	
7	12	29	
7	29	9	
9	29	12	
7	9	23	
7	23	29	
7	29	9	
9	29	23	
7	12	26	
7	26	29	
7	29	12	
12	29	26	
7	17	20	
7	20	39	
7	39	17	
17	39	20	
7	17	23	
7	23	39	
7	39	17	
17	39	23	
7	20	26	
7	26	39	
7	39	20	
20	39	26	
7	23	29	
7	29	39	
7	39	23	
23	39	29	
7	26	29	
7	29	39	
7	39	26	
26	39	29	
8	10	12	
8	12	30	
8	30	10	
10	30	12	
8	10	24	
8	24	30	
8	30	10	
10	30	24	
8	12	26	
8	26	30	
8	30	12	
12	30	26	
8	18	20	
8	20	40	
8	40	18	
18	40	20	
8	18	24	
8	24	40	
8	40	18	
18	40	24	
8	20	26	
8	26	40	
8	40	20	
20	40	26	
8	24	30	
8	30	40	
8	40	24	
24	40	30	
8	26	30	
8	30	40	
8	40	26	
26	40	30	
9	11	12	
9	12	31	
9	31	11	
11	31	12	
9	11	27	
9	27	31	
9	31	11	
11	31	27	
9	12	29	
9	29	31	
9	31	12	
12	31	29	
9	21	23	
9	23	41	
9	41	21	
21	41	23	
9	21	27	
9	27	41	
9	41	21	
21	41	27	
9	23	29	
9	29	41	
9	41	23	
23	41	29	
9	27	31	
9	31	41	
9	41	27	
27	41	31	
9	29	31	
9	31	41	
9	41	29	
29	41	31	
10	11	12	
10	12	32	
10	32	11	
11	32	12	
10	11	28	
10	28	32	
10	32	11	
11	32	28	
10	12	30	
10	30	32	
10	32	12	
12	32	30	
10	22	24	
10	24	42	
10	42	22	
22	42	24	
10	22	28	
10	28	42	
10	42	22	
22	42	28	
10	24	30	
10	30	42	
10	42	24	
24	42	30	
10	28	32	
10	32	42	
10	42	28	
28	42	32	
10	30	32	
10	32	42	
10	42	30	
30	42	32	
11	12	31	
11	31	32	
11	32	12	
12	32	31	
11	25	27	
11	27	43	
11	43	25	
25	43	27	
11	25	28	
11	28	43	
11	43	25	
25	43	28	
11	27	31	
11	31	43	
11	43	27	
27	43	31	
11	28	32	
11	32	43	
11	43	28	
28	43	32	
11	31	32	
11	32	43	
11	43	31	
31	43	32	
12	26	29	
12	29	44	
12	44	26	
26	44	29	
12	26	30	
12	30	44	
12	44	26	
26	44	30	
12	29	31	
12	31	44	
12	44	29	
29	44	31	
12	30	32	
12	32	44	
12	44	30	
30	44	32	
12	31	32	
12	32	44	
12	44	31	
31	44	32	
13	14	33	
13	33	45	
13	45	14	
14	45	33	
13	14	34	
13	34	45	
13	45	14	
14	45	34	
13	15	33	
13	33	46	
13	46	15	
15	46	33	
13	15	35	
13	35	46	
13	46	15	
15	46	35	
13	17	34	
13	34	48	
13	48	17	
17	48	34	
13	17	35	
13	35	48	
13	48	17	
17	48	35	
13	33	45	
13	45	46	
13	46	33	
33	46	45	
13	34	45	
13	45	48	
13	48	34	
34	48	45	
13	35	46	
13	46	48	
13	48	35	
35	48	46	
13	45	46	
13	46	48	
13	48	45	
45	48	46	
14	16	33	
14	33	47	
14	47	16	
16	47	33	
14	16	36	
14	36	47	
14	47	16	
16	47	36	
14	18	34	
14	34	49	
14	49	18	
18	49	34	
14	18	36	
14	36	49	
14	49	18	
18	49	36	
14	33	45	
14	45	47	
14	47	33	
33	47	45	
14	34	45	
14	45	49	
14	49	34	
34	49	45	
14	36	47	
14	47	49	
14	49	36	
36	49	47	
14	45	47	
14	47	49	
14	49	45	
45	49	47	
15	19	33	
15	33	50	
15	50	19	
19	50	33	
15	19	37	
15	37	50	
15	50	19	
19	50	37	
15	21	35	
15	35	54	
15	54	21	
21	54	35	
15	21	37	
15	37	54	
15	54	21	
21	54	37	
15	33	46	
15	46	50	
15	50	33	
33	50	46	
15	35	46	
15	46	54	
15	54	35	
35	54	46	
15	37	50	
15	50	54	
15	54	37	
37	54	50	
15	46	50	
15	50	54	
15	54	46	
46	54	50	
16	19	33	
16	33	51	
16	51	19	
19	51	33	
16	19	38	
16	38	51	
16	51	19	
19	51	38	
16	22	36	
16	36	55	
16	55	22	
22	55	36	
16	22	38	
16	38	55	
16	55	22	
22	55	38	
16	33	47	
16	47	51	
16	51	33	
33	51	47	
16	36	47	
16	47	55	
16	55	36	
36	55	47	
16	38	51	
16	51	55	
16	55	38	
38	55	51	
16	47	51	
16	51	55	
16	55	47	
47	55	51	
17	20	34	
17	34	52	
17	52	20	
20	52	34	
17	20	39	
17	39	52	
17	52	20	
20	52	39	
17	23	35	
17	35	56	
17	56	23	
23	56	35	
17	23	39	
17	39	56	
17	56	23	
23	56	39	
17	34	48	
17	48	52	
17	52	34	
34	52	48	
17	35	48	
17	48	56	
17	56	35	
35	56	48	
17	39	52	
17	52	56	
17	56	39	
39	56	52	
17	48	52	
17	52	56	
17	56	48	
48	56	52	
18	20	34	
18	34	53	
18	53	20	
20	53	34	
18	20	40	
18	40	53	
18	53	20	
20	53	40	
18	24	36	
18	36	57	
18	57	24	
24	57	36	
18	24	40	
18	40	57	
18	57	24	
24	57	40	
18	34	49	
18	49	53	
18	53	34	
34	53	49	
18	36	49	
18	49	57	
18	57	36	
36	57	49	
18	40	53	
18	53	57	
18	57	40	
40	57	53	
18	49	53	
18	53	57	
18	57	49	
49	57	53	
19	25	37	
19	37	58	
19	58	25	
25	58	37	
19	25	38	
19	38	58	
19	58	25	
25	58	38	
19	33	50	
19	50	51	
19	51	33	
33	51	50	
19	37	50	
19	50	58	
19	58	37	
37	58	50	
19	38	51	
19	51	58	
19	58	38	
38	58	51	
19	50	51	
19	51	58	
19	58	50	
50	58	51	
20	26	39	
20	39	61	
20	61	26	
26	61	39	
20	26	40	
20	40	61	
20	61	26	
26	61	40	
20	34	52	
20	52	53	
20	53	34	
34	53	52	
20	39	52	
20	52	61	
20	61	39	
